1900;-0.220;-0.362
1901;-0.300;-0.376
1902;-0.430;-0.395
1903;-0.507;-0.414
1904;-0.553;-0.434
1905;-0.411;-0.452
1906;-0.328;-0.468
1907;-0.507;-0.480
1908;-0.559;-0.489
1909;-0.564;-0.492
1910;-0.547;-0.488
1911;-0.580;-0.478
1912;-0.490;-0.462
1913;-0.489;-0.443
1914;;
1915;;
1916;;
1917;;
1918;;
1919;-0.327;-0.355
1920;-0.313;-0.345
1921;-0.262;-0.334
1922;-0.381;-0.322
1923;-0.346;-0.310
1924;-0.360;-0.298
1925;-0.274;-0.285
1926;-0.162;-0.272
1927;-0.252;-0.258
1928;-0.255;-0.246
1929;-0.376;-0.233
1930;-0.164;-0.219
1931;-0.124;-0.205
1932;-0.154;-0.189
1933;-0.296;-0.172
1934;-0.158;-0.151
1935;-0.183;-0.128
1936;-0.152;-0.103
1937;-0.033;-0.078
1938;0.009;-0.054
1939;;
1940;;
1941;;
1942;;
1943;;
1944;;
1945;;
1946;-0.204;-0.102
1947;-0.196;-0.126
1948;-0.203;-0.147
1949;-0.210;-0.162
1950;-0.307;-0.171
1951;-0.168;-0.175
1952;-0.073;-0.176
1953;-0.027;-0.174
1954;-0.251;-0.169
1955;-0.281;-0.162
1956;-0.348;-0.151
1957;-0.074;-0.139
1958;-0.011;-0.125
1959;-0.074;-0.114
1960;-0.124;-0.106
1961;-0.024;-0.104
1962;-0.022;-0.108
1963;0.000;-0.114
1964;-0.296;-0.120
1965;-0.217;-0.125
1966;-0.147;-0.127
1967;-0.150;-0.125
1968;-0.160;-0.120
1969;-0.011;-0.114
1970;-0.068;-0.108
1971;-0.190;-0.104
1972;-0.056;-0.100
1973;0.077;-0.097
1974;-0.213;-0.091
1975;-0.170;-0.082
1976;-0.254;-0.068
1977;0.019;-0.050
1978;-0.063;-0.028
1979;0.050;-0.006
1980;0.077;0.015
1981;0.120;0.032
1982;0.011;0.046
1983;0.177;0.058
1984;-0.021;0.069
1985;-0.037;0.081
1986;0.030;0.094
1987;0.179;0.108
1988;0.180;0.123
1989;0.104;0.137
1990;0.255;0.150
1991;0.210;0.163
1992;0.065;0.178
1993;0.110;0.195
1994;0.172;0.216
1995;0.269;0.241
1996;0.141;0.268
1997;0.353;0.296
1998;0.548;0.323
1999;0.298;0.348
2000;0.267;0.370
2001;0.411;0.389
2002;0.462;0.404
2003;0.470;0.415
2004;0.445;0.422
2005;0.470;0.426
