2007-01-01;482.5001
2007-01-02;482.1698
2007-01-03;482.8384
2007-01-04;483.1293
2007-01-05;480.0093
2007-01-06;485.8954
2007-01-07;485.8954
2007-01-08;480.0832
2007-01-09;479.9077
2007-01-10;457.0415
2007-01-11;453.4658
2007-01-12;462.3433
2007-01-13;462.3433
2007-01-14;462.3433
2007-01-15;461.1270
2007-01-16;473.3008
2007-01-17;467.6072
2007-01-18;465.0783
2007-01-19;465.2581
2007-01-20;465.2581
2007-01-21;465.2581
2007-01-22;477.1390
2007-01-23;474.0081
2007-01-24;478.5857
2007-01-25;478.5117
2007-01-26;482.8144
2007-01-27;482.8144
2007-01-28;482.8144
2007-01-29;471.3700
2007-01-30;471.9759
2007-01-31;476.1921
2007-02-01;483.8653
2007-02-02;485.5800
2007-02-03;485.5800
2007-02-04;485.5800
2007-02-05;488.5777
2007-02-06;490.0683
2007-02-07;488.5520
2007-02-08;477.0283
2007-02-09;478.6511
2007-02-10;478.6511
2007-02-11;478.6511
2007-02-12;466.9880
2007-02-13;473.9600
2007-02-14;481.0963
2007-02-15;477.8714
2007-02-16;480.8368
2007-02-17;479.0914
2007-02-18;479.0914
2007-02-19;483.9699
2007-02-20;479.2478
2007-02-21;479.0233
2007-02-22;485.3238
2007-02-23;483.5882
2007-02-24;483.1858
2007-02-25;483.1858
2007-02-26;488.8680
2007-02-27;467.0742
2007-02-28;457.8783
2007-03-01;442.1513
2007-03-02;446.9608
2007-03-03;446.9608
2007-03-04;446.9608
2007-03-05;449.4007
